class,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,0.00594,0.559,192778,0.724,0.0,9,0.102,-4.18,0,0.0348,128.883,4,0.304
1,0.000761,0.393,204094,0.765,0.0598,9,0.435,-6.391,0,0.0309,176.005,4,0.321
1,0.000324,0.511,225013,0.93,0.00452,7,0.231,-5.573,1,0.401,160.014,4,0.37
1,0.0529,0.757,191042,0.557,0.0,4,0.241,-6.557,0,0.0399,125.965,4,0.53
1,0.0112,0.409,176053,0.939,0.000199,9,0.778,-3.239,1,0.0896,127.883,4,0.344
1,0.00602,0.608,239893,0.865,0.0,1,0.127,-3.961,0,0.0451,100.026,4,0.568
1,0.000986,0.481,286524,0.93,7.81e-05,8,0.384,-3.093,1,0.0769,125.02,4,0.303
1,0.000112,0.474,197776,0.779,0.31,7,0.073,-6.318,1,0.0311,141.965,4,0.592
1,0.000712,0.487,184857,0.967,0.000196,11,0.0931,-3.986,1,0.0658,99.963,4,0.563
1,4.5e-05,0.417,162642,0.922,2.82e-05,1,0.16,-6.278,1,0.0481,155.883,4,0.521
1,0.00869,0.368,230956,0.893,0.0011,1,0.14,-5.753,1,0.0416,77.661,4,0.296
1,0.0153,0.547,210944,0.437,7.43e-05,9,0.0732,-9.977,1,0.0287,79.969,4,0.315
1,0.00754,0.268,176157,0.514,0.0924,2,0.0806,-8.3,1,0.0323,172.868,4,0.178
1,0.00105,0.491,192993,0.619,0.0,11,0.115,-7.139,0,0.0285,89.024,4,0.458
1,0.00261,0.532,178795,0.892,0.000519,11,0.228,-4.698,0,0.071,85.99,4,0.808
1,3e-05,0.352,211373,0.571,0.00885,2,0.125,-3.801,0,0.0441,99.202,3,0.53
1,0.0234,0.558,211087,0.921,0.00035,4,0.154,-4.409,1,0.0639,93.468,4,0.357
1,0.0387,0.63,192105,0.857,0.0193,10,0.286,-4.913,0,0.062,136.971,4,0.534
1,0.00185,0.535,203587,0.851,0.0,7,0.212,-4.37,1,0.0462,97.036,4,0.514
1,4.53e-05,0.43,279208,0.8,0.109,7,0.0462,-3.597,0,0.0395,175.068,4,0.551
1,0.131,0.7,226967,0.677,0.0491,10,0.121,-7.206,0,0.0458,94.388,4,0.614
1,0.0729,0.41,216840,0.637,3.77e-05,9,0.732,-6.673,1,0.0327,77.398,4,0.238
1,0.00025,0.566,213453,0.637,0.202,0,0.102,-7.573,1,0.0347,124.037,3,0.269
1,0.0532,0.658,205107,0.787,0.0221,11,0.094,-5.049,0,0.109,166.937,4,0.778
1,0.00271,0.562,200840,0.832,0.00013,2,0.406,-4.873,1,0.0913,93.494,4,0.559
1,0.0122,0.232,297120,0.946,3.34e-06,7,0.088,-4.395,1,0.0661,181.958,4,0.262
1,0.00828,0.485,274148,0.733,0.011,11,0.196,-7.107,1,0.0245,87.538,4,0.397
1,0.0354,0.403,240403,0.909,0.0,4,0.135,-3.856,1,0.102,155.143,4,0.46
1,0.0126,0.446,236560,0.9,0.000976,2,0.25,-3.78,1,0.0407,96.984,4,0.64
1,0.0862,0.646,185227,0.858,0.0,7,0.269,-2.605,1,0.101,81.423,4,0.689
1,0.00024,0.411,201827,0.813,0.0,6,0.275,-3.419,0,0.0598,168.034,4,0.643
1,3.32e-05,0.365,247267,0.894,0.171,11,0.267,-4.682,0,0.0572,82.305,3,0.31
1,5.96e-05,0.412,250547,0.882,0.00031,11,0.0805,-5.54,0,0.0369,158.066,4,0.356
1,0.0046,0.496,185587,0.863,0.0,9,0.639,-4.153,1,0.0381,110.018,4,0.243
1,9.87e-05,0.345,317693,0.764,1.68e-05,6,0.181,-6.924,1,0.0366,105.71,4,0.154
1,0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685
1,0.000353,0.42,210240,0.929,0.000747,7,0.122,-3.899,0,0.121,127.204,4,0.3
1,0.00745,0.199,291440,0.622,0.794,8,0.204,-6.749,1,0.0368,183.491,4,0.136
1,0.000202,0.602,304840,0.905,0.064,2,0.117,-4.046,1,0.0775,128.019,4,0.411
1,0.00666,0.745,231920,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303
1,0.479,0.832,259093,0.435,0.553,1,0.0952,-9.598,1,0.0604,119.057,4,0.279
1,0.00114,0.579,223747,0.812,0.00333,1,0.115,-6.509,0,0.0693,152.002,4,0.278
1,0.0266,0.466,313573,0.833,0.0,7,0.0327,-4.215,1,0.304,88.785,4,0.661
1,0.184,0.494,281160,0.677,0.0258,6,0.0926,-10.233,1,0.0452,101.539,4,0.316
1,0.000336,0.433,277840,0.854,0.000177,9,0.162,-3.868,1,0.0483,89.4,4,0.368
1,0.00108,0.33,222587,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234
1,0.00148,0.613,213800,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537
1,0.000624,0.56,200480,0.892,0.000164,4,0.177,-3.365,0,0.0644,90.615,4,0.67
1,0.000213,0.309,206587,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.725
1,0.00834,0.381,233240,0.732,0.0101,10,0.0854,-7.594,0,0.0536,142.504,4,0.814
1,0.0505,0.558,388733,0.364,5.02e-06,4,0.0753,-11.258,0,0.0265,142.171,3,0.17
1,0.0424,0.629,168253,0.897,0.0,2,0.263,-3.401,1,0.0483,161.944,4,0.93
1,0.00129,0.494,169027,0.946,0.0,4,0.398,-2.757,1,0.0637,103.408,4,0.741
1,0.0365,0.447,266493,0.337,0.00124,5,0.0945,-11.402,1,0.0325,114.422,4,0.0827
